GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openelisglobal,org.openelisglobal.userrole.valueholder,UserRolePK,70,0,10,0,15,0,13,0,8,0
openelisglobal,org.openelisglobal.sampledomain.valueholder,SampleDomain,18,6,0,0,8,3,5,2,5,2
openelisglobal,org.openelisglobal.image.service,ImageServiceImpl,77,0,9,0,22,0,13,0,8,0
openelisglobal,org.openelisglobal.reportconfiguration.service,ReportServiceImpl,345,0,24,0,75,0,19,0,7,0
openelisglobal,org.openelisglobal.common.servlet.autocomplete,AjaxXMLServlet,79,0,4,0,18,0,4,0,2,0
openelisglobal,org.openelisglobal.test.daoimpl,TestSectionDAOImpl,453,0,14,0,127,0,22,0,15,0
openelisglobal,org.openelisglobal.test.daoimpl,TestDAOImpl,1284,0,44,0,340,0,61,0,39,0
openelisglobal,org.openelisglobal.typeofsample.daoimpl,TypeOfSampleTestDAOImpl,237,0,6,0,65,0,12,0,9,0
openelisglobal,org.openelisglobal.typeofsample.daoimpl,TypeOfSamplePanelDAOImpl,208,0,4,0,60,0,10,0,8,0
openelisglobal,org.openelisglobal.typeofsample.daoimpl,TypeOfSampleDAOImpl,588,0,34,0,165,0,37,0,19,0
openelisglobal,org.openelisglobal.statusofsample.util,StatusRules,50,0,0,0,15,0,5,0,5,0
openelisglobal,org.openelisglobal.unitofmeasure.daoimpl,UnitOfMeasureDAOImpl,88,0,4,0,22,0,5,0,3,0
openelisglobal,org.openelisglobal.login.validator,LoginValidator,57,0,8,0,18,0,10,0,6,0
openelisglobal,org.openelisglobal.login.validator,ChangePasswordLoginFormValidator,30,0,4,0,8,0,5,0,3,0
openelisglobal,org.openelisglobal.reports.action.util,ReportUtil,220,0,20,0,63,0,19,0,9,0
openelisglobal,org.openelisglobal.reports.action.util,ReportUtil.DocumentTypes,14,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.patient.saving,PatientEditUpdate,43,0,2,0,16,0,5,0,4,0
openelisglobal,org.openelisglobal.patient.saving,PatientSecondEntry,39,0,4,0,11,0,6,0,4,0
openelisglobal,org.openelisglobal.patient.saving,SampleSecondEntry,39,0,4,0,11,0,6,0,4,0
openelisglobal,org.openelisglobal.patient.saving,SampleEntryAfterPatientEntry,54,0,2,0,16,0,5,0,4,0
openelisglobal,org.openelisglobal.patient.saving,Accessioner,2123,0,200,0,515,0,168,0,68,0
openelisglobal,org.openelisglobal.patient.saving,PatientEntryAfterSampleEntry,35,0,4,0,11,0,5,0,3,0
openelisglobal,org.openelisglobal.patient.saving,SampleEntry,446,0,51,0,124,0,42,0,16,0
openelisglobal,org.openelisglobal.patient.saving,RequestType,68,0,4,0,6,0,4,0,2,0
openelisglobal,org.openelisglobal.patient.saving,Accessioner.SampleItemAnalysisCollection,12,0,0,0,4,0,1,0,1,0
openelisglobal,org.openelisglobal.patient.saving,AccessionerSaveService,3,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.patient.saving,PatientEntry,113,0,4,0,33,0,10,0,8,0
openelisglobal,org.openelisglobal.patient.saving,PatientEntryAfterAnalyzer,65,0,4,0,18,0,7,0,5,0
openelisglobal,org.openelisglobal.workplan.form,WorkplanForm,147,0,0,0,62,0,35,0,35,0
openelisglobal,org.openelisglobal.method.daoimpl,MethodDAOImpl,142,0,4,0,41,0,7,0,5,0
openelisglobal,org.openelisglobal.analyzer.form,AnalyzerSetupForm,66,0,0,0,28,0,19,0,19,0
openelisglobal,org.openelisglobal.analyzer.form,ListPluginForm,13,0,0,0,6,0,3,0,3,0
openelisglobal,org.openelisglobal.renametestsection.valueholder,RenameTestSection,90,21,0,0,35,6,23,2,23,2
openelisglobal,org.openelisglobal.sampledomain.dao,SampleDomainDAOImpl,4,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.reportconfiguration.valueholder,Report,136,6,18,0,29,2,24,2,15,2
openelisglobal,org.openelisglobal.reportconfiguration.valueholder,ReportCategory,53,0,0,0,22,0,11,0,11,0
openelisglobal,org.openelisglobal.organization.valueholder,OrganizationComparator.new Comparator() {...},22,0,0,0,6,0,2,0,2,0
openelisglobal,org.openelisglobal.organization.valueholder,OrganizationComparator.new Comparator() {...},15,0,0,0,4,0,2,0,2,0
openelisglobal,org.openelisglobal.organization.valueholder,OrganizationComparator.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
openelisglobal,org.openelisglobal.organization.valueholder,OrganizationType,28,6,0,0,12,2,8,2,8,2
openelisglobal,org.openelisglobal.organization.valueholder,OrganizationContact,28,11,0,0,11,4,7,2,7,2
openelisglobal,org.openelisglobal.organization.valueholder,OrganizationComparator,22,0,0,0,5,0,3,0,3,0
openelisglobal,org.openelisglobal.organization.valueholder,Organization,47,157,2,0,10,64,9,41,8,41
openelisglobal,org.openelisglobal.barcode,BarcodeLabelMaker,986,0,80,0,226,0,62,0,22,0
openelisglobal,org.openelisglobal.barcode,LabelField,105,0,0,0,34,0,15,0,15,0
openelisglobal,org.openelisglobal.common.controller,BaseController,449,9,41,1,115,4,42,2,21,2
openelisglobal,org.openelisglobal.common.controller,HomePageController,24,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.common.controller,HealthController.HealthState,13,0,0,0,5,0,3,0,3,0
openelisglobal,org.openelisglobal.common.controller,HealthController.HealthState.Status,14,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.common.controller,DeletePatientTestDataController,85,0,6,0,27,0,9,0,6,0
openelisglobal,org.openelisglobal.common.controller,BaseMenuController,205,117,24,9,52,34,20,7,3,7
openelisglobal,org.openelisglobal.common.controller,HealthController,7,0,0,0,2,0,2,0,2,0
openelisglobal,org.openelisglobal.common.controller,ErrorController,40,0,5,0,15,0,7,0,3,0
openelisglobal,org.openelisglobal.patient.valueholder,PatientContact,18,6,0,0,8,2,5,2,5,2
openelisglobal,org.openelisglobal.patient.valueholder,Patient,16,205,3,1,4,82,5,49,3,49
openelisglobal,org.openelisglobal.patient.valueholder,AdverseEffect,17,0,0,0,7,0,5,0,5,0
openelisglobal,org.openelisglobal.patient.valueholder,ObservationData,1154,0,10,0,414,0,270,0,265,0
openelisglobal,org.openelisglobal.sampletracking.service,SampleTrackingServiceImpl,7,0,0,0,3,0,2,0,2,0
openelisglobal,org.openelisglobal.common.security,PageIdentityUtil,114,0,32,0,30,0,19,0,3,0
openelisglobal,org.openelisglobal.typeoftestresult.daoimpl,TypeOfTestResultDAOImpl,106,4,8,0,25,2,6,1,2,1
openelisglobal,org.openelisglobal.barcode.daoimpl,BarcodeLabelInfoDAOImpl,4,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.resultreporting.controller.rest,ResultReportingConfigurationRestController,322,0,28,0,74,0,25,0,11,0
openelisglobal,org.openelisglobal.panelitem.daoimpl,PanelItemDAOImpl,325,0,6,0,86,0,14,0,11,0
openelisglobal,org.openelisglobal.dataexchange.service.order,ElectronicOrderServiceImpl,399,0,54,0,80,0,43,0,15,0
openelisglobal,org.openelisglobal.security.certs.service,TruststoreServiceImpl,28,0,0,0,6,0,2,0,2,0
openelisglobal,org.openelisglobal.organization.controller,OrganizationMenuController,328,0,28,0,79,0,26,0,12,0
openelisglobal,org.openelisglobal.organization.controller,OrganizationController,1067,0,160,0,254,0,99,0,19,0
openelisglobal,org.openelisglobal.sampletracking.dao,SampleTrackingDAOImpl,4,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.qaevent.form,RejectionForm,221,0,0,0,92,0,53,0,53,0
openelisglobal,org.openelisglobal.qaevent.form,NonConformingEventForm,297,0,0,0,127,0,85,0,85,0
openelisglobal,org.openelisglobal.qaevent.form,NonConformityForm,392,0,0,0,159,0,83,0,83,0
openelisglobal,org.openelisglobal.common.provider.query.workerObjects,PatientSearchWorker.FoundListComparator,61,0,16,0,14,0,10,0,2,0
openelisglobal,org.openelisglobal.common.provider.query.workerObjects,PatientSearchLocalWorker,274,0,54,0,59,0,32,0,5,0
openelisglobal,org.openelisglobal.common.provider.query.workerObjects,PatientSearchLocalAndExternalWorker,755,0,74,0,174,0,48,0,11,0
openelisglobal,org.openelisglobal.common.provider.query.workerObjects,PatientSearchWorker,130,0,2,0,30,0,6,0,5,0
openelisglobal,org.openelisglobal.sampleqaeventaction.service,SampleQaEventActionServiceImpl,7,0,0,0,3,0,2,0,2,0
openelisglobal,org.openelisglobal.common.tools,StopWatch,149,0,10,0,38,0,12,0,7,0
openelisglobal,org.openelisglobal.common.tools,StopWatch.Mark,6,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.sampleqaevent.daoimpl,SampleQaEventDAOImpl,256,0,6,0,70,0,12,0,9,0
openelisglobal,org.openelisglobal.testreflex.service,TestReflexServiceImpl,598,0,46,0,130,0,52,0,29,0
openelisglobal,org.openelisglobal.analyzerimport.service,AnalyzerTestMappingServiceImpl,17,0,0,0,5,0,3,0,3,0
openelisglobal,org.openelisglobal.inventory.form,InventoryForm,47,0,0,0,20,0,11,0,11,0
openelisglobal,org.openelisglobal.inventory.form,InventoryKitItem,90,0,0,0,38,0,25,0,25,0
openelisglobal,org.openelisglobal.analyzerresults.service,AnalyzerResultsServiceImpl,395,0,56,0,99,0,38,0,10,0
openelisglobal,org.openelisglobal.provider.daoimpl,ProviderDAOImpl,270,4,4,0,74,2,9,1,7,1
openelisglobal,org.openelisglobal.test.controller.rest,BatchTestReassignmentRestController,596,0,57,0,143,0,45,0,15,0
